,PRCP_US1UTWS0009,PRCP_USC00421285,PRCP_USC00421918,TMIN_USC00421918,TMAX_USC00421918,PRCP_USC00422294,TMIN_USC00422294,TMAX_USC00422294,PRCP_USC00422726,PRCP_USC00423335,TMIN_USC00424846,TMAX_USC00424846,PRCP_USC00425705,TMIN_USC00425705,TMAX_USC00425705,PRCP_USC00427255,TMIN_USC00427255,TMAX_USC00427255,PRCP_USC00427576,TMIN_USC00427576,PRCP_USC00428114,TMIN_USC00428114,TMAX_USC00428114,PRCP_USC00428668,PRCP_USC00428741,SNOW_USC00428741,SNWD_USC00428741,TMIN_USC00428741,TMAX_USC00428741,TMIN_USC00428939,TMAX_USC00428939,PRCP_USC00429133,TMIN_USC00429133,TMAX_USC00429133,PRCP_USC00429560,TMIN_USC00429560,TMAX_USC00429560,PRCP_USW00024126,SNOW_USW00024126,SNWD_USW00024126,TMIN_USW00024126,TMAX_USW00024126,depth
1958-11-01,0.0,0.0,0.0,-117.0,133.0,0.0,-117.0,144.0,0.0,0.0,-83.0,117.0,0.0,,,0.0,-39.0,156.0,0.0,-50.0,0.0,-11.0,150.0,0.0,0.0,0.0,0.0,-11.0,128.0,-67.0,133.0,0.0,-106.0,122.0,0.0,-94.0,128.0,0.0,0.0,0.0,-22.0,150.0,4195.25
1958-11-02,0.0,0.0,0.0,-122.0,133.0,0.0,-94.0,144.0,0.0,0.0,-78.0,111.0,0.0,,,0.0,-39.0,161.0,0.0,,0.0,-11.0,156.0,0.0,0.0,0.0,0.0,11.0,139.0,-67.0,122.0,0.0,-94.0,128.0,0.0,-94.0,100.0,0.0,0.0,0.0,-22.0,167.0,
1958-11-03,0.0,0.0,0.0,-111.0,144.0,0.0,6.0,150.0,0.0,0.0,11.0,139.0,0.0,,,0.0,33.0,150.0,0.0,-39.0,0.0,44.0,167.0,0.0,0.0,0.0,0.0,61.0,144.0,6.0,133.0,0.0,-11.0,133.0,0.0,11.0,122.0,0.0,0.0,0.0,50.0,172.0,
1958-11-04,0.0,0.0,0.0,-39.0,150.0,0.0,11.0,156.0,0.0,0.0,33.0,100.0,,,,28.0,39.0,128.0,0.0,44.0,0.0,50.0,200.0,0.0,0.0,0.0,0.0,78.0,183.0,-11.0,194.0,0.0,11.0,144.0,0.0,11.0,128.0,0.0,0.0,0.0,72.0,206.0,
1958-11-05,23.0,41.0,5.0,39.0,172.0,36.0,-11.0,111.0,28.0,15.0,-6.0,100.0,,,,135.0,17.0,106.0,5.0,61.0,5.0,72.0,144.0,30.0,18.0,0.0,0.0,56.0,133.0,28.0,133.0,25.0,44.0,117.0,30.0,6.0,89.0,23.0,0.0,0.0,44.0,144.0,
1958-11-06,0.0,0.0,28.0,-33.0,100.0,0.0,-11.0,150.0,0.0,0.0,-6.0,111.0,0.0,,,0.0,28.0,122.0,3.0,6.0,0.0,39.0,167.0,0.0,0.0,0.0,0.0,56.0,156.0,-11.0,139.0,0.0,-6.0,133.0,0.0,-17.0,111.0,0.0,0.0,0.0,17.0,183.0,
1958-11-07,18.0,36.0,15.0,-11.0,144.0,0.0,56.0,128.0,0.0,0.0,-50.0,83.0,,,,0.0,50.0,122.0,0.0,28.0,8.0,83.0,161.0,15.0,0.0,0.0,0.0,83.0,156.0,39.0,150.0,28.0,39.0,111.0,5.0,28.0,78.0,0.0,0.0,0.0,6.0,156.0,
1958-11-08,0.0,0.0,0.0,-50.0,150.0,0.0,-33.0,178.0,0.0,0.0,-6.0,133.0,0.0,,,0.0,22.0,133.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,17.0,194.0,-28.0,189.0,0.0,0.0,167.0,0.0,-44.0,133.0,0.0,0.0,0.0,22.0,200.0,
1958-11-09,0.0,0.0,10.0,-22.0,178.0,0.0,-33.0,239.0,0.0,0.0,-11.0,133.0,0.0,,,0.0,39.0,217.0,0.0,,0.0,83.0,233.0,0.0,0.0,0.0,0.0,61.0,222.0,0.0,183.0,0.0,6.0,189.0,0.0,-39.0,183.0,0.0,0.0,0.0,50.0,233.0,
1958-11-10,0.0,0.0,0.0,-17.0,200.0,0.0,-33.0,194.0,0.0,0.0,17.0,139.0,0.0,,,8.0,22.0,183.0,0.0,-6.0,0.0,83.0,233.0,0.0,0.0,0.0,0.0,72.0,200.0,100.0,206.0,0.0,72.0,167.0,0.0,0.0,161.0,3.0,0.0,0.0,50.0,200.0,
1958-11-11,8.0,5.0,46.0,22.0,178.0,18.0,22.0,100.0,28.0,15.0,17.0,89.0,0.0,-39.0,83.0,86.0,-6.0,39.0,20.0,39.0,0.0,56.0,83.0,33.0,23.0,0.0,0.0,17.0,78.0,28.0,100.0,28.0,17.0,106.0,91.0,-33.0,61.0,23.0,0.0,0.0,39.0,67.0,
1958-11-12,0.0,36.0,36.0,28.0,72.0,18.0,11.0,89.0,36.0,8.0,17.0,78.0,0.0,-39.0,83.0,0.0,-22.0,100.0,28.0,33.0,0.0,56.0,78.0,0.0,0.0,0.0,0.0,17.0,89.0,28.0,100.0,28.0,6.0,83.0,0.0,-11.0,56.0,5.0,0.0,0.0,39.0,100.0,
1958-11-13,0.0,0.0,0.0,6.0,78.0,0.0,-28.0,128.0,0.0,0.0,-11.0,89.0,0.0,-56.0,144.0,0.0,6.0,94.0,0.0,39.0,0.0,33.0,144.0,0.0,30.0,0.0,0.0,11.0,144.0,-11.0,128.0,0.0,11.0,122.0,10.0,-28.0,100.0,0.0,0.0,0.0,28.0,144.0,
1958-11-14,0.0,94.0,0.0,11.0,122.0,46.0,-6.0,133.0,0.0,76.0,-11.0,56.0,178.0,-94.0,194.0,345.0,0.0,89.0,5.0,44.0,0.0,100.0,150.0,0.0,58.0,0.0,0.0,17.0,144.0,28.0,128.0,20.0,17.0,106.0,112.0,-17.0,67.0,76.0,10.0,0.0,6.0,139.0,
