ID,YEAR,MONTH,ELEMENT,VALUE1,MFLAG1,QFLAG1,SFLAG1,VALUE2,MFLAG2,QFLAG2,SFLAG2,VALUE3,MFLAG3,QFLAG3,SFLAG3,VALUE4,MFLAG4,QFLAG4,SFLAG4,VALUE5,MFLAG5,QFLAG5,SFLAG5,VALUE6,MFLAG6,QFLAG6,SFLAG6,VALUE7,MFLAG7,QFLAG7,SFLAG7,VALUE8,MFLAG8,QFLAG8,SFLAG8,VALUE9,MFLAG9,QFLAG9,SFLAG9,VALUE10,MFLAG10,QFLAG10,SFLAG10,VALUE11,MFLAG11,QFLAG11,SFLAG11,VALUE12,MFLAG12,QFLAG12,SFLAG12,VALUE13,MFLAG13,QFLAG13,SFLAG13,VALUE14,MFLAG14,QFLAG14,SFLAG14,VALUE15,MFLAG15,QFLAG15,SFLAG15,VALUE16,MFLAG16,QFLAG16,SFLAG16,VALUE17,MFLAG17,QFLAG17,SFLAG17,VALUE18,MFLAG18,QFLAG18,SFLAG18,VALUE19,MFLAG19,QFLAG19,SFLAG19,VALUE20,MFLAG20,QFLAG20,SFLAG20,VALUE21,MFLAG21,QFLAG21,SFLAG21,VALUE22,MFLAG22,QFLAG22,SFLAG22,VALUE23,MFLAG23,QFLAG23,SFLAG23,VALUE24,MFLAG24,QFLAG24,SFLAG24,VALUE25,MFLAG25,QFLAG25,SFLAG25,VALUE26,MFLAG26,QFLAG26,SFLAG26,VALUE27,MFLAG27,QFLAG27,SFLAG27,VALUE28,MFLAG28,QFLAG28,SFLAG28,VALUE29,MFLAG29,QFLAG29,SFLAG29,VALUE30,MFLAG30,QFLAG30,SFLAG30,VALUE31,MFLAG31,QFLAG31,SFLAG31
USC00428922,1913,12,TMIN,-39,,,6,-11,,,6,-28,,,6,-44,,,6,-39,,,6,-61,,,6,-56,,,6,-39,,,6,-56,,,6,-72,,,6,-56,,,6,-61,,,6,-56,,,6,-33,,,6,-17,,,6,-17,,,6,-9999,,,,-33,,,6,-72,,,6,-144,,,6,-144,,,6,-139,,,6,-94,,,6,-122,,,6,-100,,,6,-133,,,6,-78,,,6,-94,,,6,-117,,,6,-133,,,6,-44,,,6
USC00428922,1913,12,TOBS,11,,,6,-9999,,,,-9999,,,,-33,,,6,-22,,,6,0,,,6,6,,,6,-6,,,6,-11,,,6,-11,,,6,6,,,6,28,,,6,0,,,6,17,,,6,17,,,6,22,,,6,-9999,,,,-33,,,6,-33,,,6,-133,,,6,-89,,,6,-9999,,,,-9999,,,,-28,,,6,-11,,,6,-17,,,6,-9999,,,,-56,,,6,-111,,,6,-9999,,,,83,,,6
USC00428922,1913,12,PRCP,13,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,5,,,6,-9999,,,,-9999,,,,102,,,6,38,,,6,-9999,,,,-9999,,,,66,,,6,46,,,6,-9999,,,,15,,,6,86,,,6,-9999,,,,-9999,,,,-9999,,,,5,,,6,20,,,6
USC00428922,1913,12,SNWD,25,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,178,,,6,203,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,01,TMAX,100,,,6,100,,,6,100,,,6,56,,,6,56,,,6,56,,,6,6,,,6,117,,,6,22,,,6,22,,,6,-6,,,6,17,,,6,72,,,6,117,,,6,139,,,6,-9999,,,,133,,,6,128,,,6,156,,,6,28,,,6,44,,,6,67,,,6,72,,,6,111,,,6,133,,,6,111,,,6,39,,,6,6,,,6,0,,,6,28,,,6,33,,,6
USC00428922,1914,01,TMIN,11,,,6,-17,,,6,-6,,,6,-50,,,6,-44,,,6,-44,,,6,-56,,,6,-67,,,6,-61,,,6,-94,,,6,-111,,,6,-117,,,6,-56,,,6,6,,,6,-6,,,6,-9999,,,,0,,,6,-6,,,6,-50,,,6,-89,,,6,-33,,,6,6,,,6,-6,,,6,0,,,6,22,,,6,0,,,6,-39,,,6,-83,,,6,-156,,,6,-122,,,6,-33,,,6
USC00428922,1914,01,TOBS,22,,,6,83,,,6,11,,,6,-9999,,,,-9999,,,,-6,,,6,0,,,6,-6,,,6,-28,,,6,-61,,,6,-39,,,6,-6,,,6,39,,,6,61,,,6,6,,,6,-9999,,,,106,,,6,-9999,,,,-44,,,6,0,,,6,28,,,6,28,,,6,44,,,6,-9999,,,,100,,,6,6,,,6,-6,,,6,-61,,,6,-44,,,6,-39,,,6,-17,,,6
USC00428922,1914,01,PRCP,41,,,6,-9999,,,,119,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,20,,,6,0,T,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,33,,,6,61,,,6,-9999,,,,-9999,,,,122,,,6,-9999,,,,-9999,,,,0,T,,6,99,,,6,-9999,,,,-9999,,,,201,,,6,76,,,6,41,,,6,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,02,TMAX,33,,,6,-11,,,6,17,,,6,39,,,6,22,,,6,-33,,,6,-9999,,,,61,,,6,-9999,,,,67,,,6,67,,,6,61,,,6,39,,,6,44,,,6,39,,,6,39,,,6,50,,,6,100,,,6,100,,,6,94,,,6,72,,,6,56,,,6,67,,,6,61,,,6,61,,,6,44,,,6,44,,,6,144,,,6,-9999,,,,-9999,,,,-9999,,,
USC00428922,1914,02,TMIN,-33,,,6,-61,,,6,-117,,,6,-106,,,6,-39,,,6,-150,,,6,-94,,,6,-9999,,,,-9999,,,,-78,,,6,-17,,,6,-22,,,6,-33,,,6,-39,,,6,-50,,,6,-56,,,6,-6,,,6,0,,,6,17,,,6,39,,,6,0,,,6,-22,,,6,-44,,,6,-17,,,6,-33,,,6,-39,,,6,-67,,,6,17,,,6,-9999,,,,-9999,,,,-9999,,,
